Date,lalin
1/1/2020,87731
1/2/2020,82907
1/3/2020,80181
1/4/2020,82990
1/5/2020,78905
1/6/2020,78578
1/7/2020,75520
1/8/2020,75020
1/9/2020,76906
1/10/2020,80428
1/11/2020,77954
1/12/2020,72176
1/13/2020,77228
1/14/2020,73958
1/15/2020,77189
1/16/2020,77539
1/17/2020,81590
1/18/2020,79719
1/19/2020,70217
1/20/2020,77993
1/21/2020,74396
1/22/2020,75823
1/23/2020,79046
1/24/2020,91578
1/25/2020,76958
1/26/2020,86268
1/27/2020,79487
1/28/2020,76565
1/29/2020,76095
1/30/2020,77877
1/31/2020,83729
2/1/2020,82989
2/2/2020,81160
2/3/2020,80547
2/4/2020,75767
2/5/2020,77148
2/6/2020,78302
2/7/2020,85278
2/8/2020,85613
2/9/2020,79547
2/10/2020,79880
2/11/2020,77552
2/12/2020,77996
2/13/2020,79282
2/14/2020,85439
2/15/2020,82299
2/16/2020,77666
2/17/2020,80945
2/18/2020,76623
2/19/2020,77892
2/20/2020,80851
2/21/2020,84176
2/22/2020,84764
2/23/2020,77446
2/24/2020,79846
2/25/2020,76991
2/26/2020,77876
2/27/2020,78650
2/28/2020,85127
2/29/2020,83591
3/1/2020,78763
3/2/2020,78468
3/3/2020,75646
3/4/2020,77078
3/5/2020,79459
3/6/2020,84617
3/7/2020,85650
3/8/2020,80925
3/9/2020,80653
3/10/2020,76584
3/11/2020,79537
3/12/2020,80186
3/13/2020,85591
3/14/2020,83863
3/15/2020,75925
3/16/2020,74113
3/17/2020,68904
3/18/2020,65014
3/19/2020,62602
3/20/2020,66104
3/21/2020,56544
3/22/2020,41866
3/23/2020,54954
3/24/2020,53006
3/25/2020,30187
3/26/2020,49388
3/27/2020,47741
3/28/2020,38310
3/29/2020,26761
3/30/2020,47179
3/31/2020,43865
4/1/2020,41815
4/2/2020,40574
4/3/2020,42425
4/4/2020,33300
4/5/2020,22122
4/6/2020,41523
4/7/2020,40057
4/8/2020,41136
4/9/2020,44949
4/10/2020,21770
4/11/2020,29005
4/12/2020,22521
4/13/2020,43240
4/14/2020,40888
4/15/2020,41313
4/16/2020,40942
4/17/2020,41451
4/18/2020,34256
4/19/2020,24384
4/20/2020,44071
4/21/2020,43618
4/22/2020,45975
4/23/2020,47640
4/24/2020,35330
4/25/2020,26714
4/26/2020,17145
4/27/2020,41578
4/28/2020,29139
4/29/2020,29416
4/30/2020,34045
5/1/2020,13890
5/2/2020,19747
5/3/2020,12572
5/4/2020,33543
5/5/2020,32614
5/6/2020,34524
5/7/2020,15878
5/8/2020,33577
5/9/2020,23781
5/10/2020,15131
5/11/2020,37539
5/12/2020,35425
5/13/2020,35496
5/14/2020,36428
5/15/2020,38208
5/16/2020,28493
5/17/2020,18359
5/18/2020,40633
5/19/2020,38763
5/20/2020,42394
5/21/2020,21382
5/22/2020,26692
5/23/2020,15864
5/24/2020,14556
5/25/2020,18261
5/26/2020,26477
5/27/2020,29329
5/28/2020,31156
5/29/2020,33814
5/30/2020,27614
5/31/2020,21054
6/1/2020,25306
6/2/2020,42565
6/3/2020,41655
6/4/2020,41191
6/5/2020,42817
6/6/2020,35262
6/7/2020,26877
6/8/2020,45022
6/9/2020,44918
6/10/2020,46168
6/11/2020,46845
6/12/2020,49078
6/13/2020,43745
6/14/2020,37932
6/15/2020,51402
6/16/2020,48970
6/17/2020,49875
6/18/2020,49376
6/19/2020,52261
6/20/2020,49590
6/21/2020,42128
6/22/2020,52932
6/23/2020,50971
6/24/2020,51676
6/25/2020,51492
6/26/2020,54331
6/27/2020,50432
6/28/2020,45101
6/29/2020,54167
6/30/2020,52875
7/1/2020,52611
7/2/2020,52743
7/3/2020,55979
7/4/2020,53615
7/5/2020,48759
7/6/2020,56663
7/7/2020,54813
7/8/2020,55041
7/9/2020,54453
7/10/2020,57419
7/11/2020,52844
7/12/2020,46969
7/13/2020,55280
7/14/2020,53222
7/15/2020,52533
7/16/2020,53094
7/17/2020,55613
7/18/2020,51514
7/19/2020,45059
7/20/2020,58136
7/21/2020,52277
7/22/2020,52696
7/23/2020,54020
7/24/2020,63189
7/25/2020,55344
7/26/2020,47976
7/27/2020,57608
7/28/2020,56766
7/29/2020,60604
7/30/2020,55363
7/31/2020,30899
8/1/2020,44260
8/2/2020,56482
8/3/2020,54917
8/4/2020,51418
8/5/2020,52162
8/6/2020,52253
8/7/2020,55437
8/8/2020,53248
8/9/2020,46865
8/10/2020,60154
8/11/2020,58870
8/12/2020,59594
8/13/2020,60097
8/14/2020,66196
8/15/2020,68868
8/16/2020,54703
8/17/2020,57549
8/18/2020,63445
8/19/2020,67348
8/20/2020,52520
8/21/2020,57624
8/22/2020,59582
8/23/2020,59715
8/24/2020,60703
8/25/2020,57228
8/26/2020,58519
8/27/2020,57618
8/28/2020,60186
8/29/2020,57996
8/30/2020,53594
8/31/2020,60060
9/1/2020,57586
9/2/2020,56857
9/3/2020,58403
9/4/2020,63117
9/5/2020,61111
9/6/2020,55868
9/7/2020,59964
9/8/2020,57983
9/9/2020,58115
9/10/2020,58910
9/11/2020,62508
9/12/2020,59819
9/13/2020,54171
9/14/2020,59646
9/15/2020,57135
9/16/2020,56784
9/17/2020,57586
9/18/2020,61179
9/19/2020,58658
9/20/2020,52366
9/21/2020,58818
9/22/2020,55688
9/23/2020,57271
9/24/2020,57742
9/25/2020,61271
9/26/2020,59290
9/27/2020,52397
9/28/2020,59806
9/29/2020,56322
9/30/2020,56841
10/1/2020,57956
10/2/2020,53511
10/3/2020,54412
10/4/2020,58323
10/5/2020,53742
10/6/2020,51415
10/7/2020,52272
10/8/2020,56298
10/9/2020,57131
10/10/2020,54900
10/11/2020,51134
10/12/2020,54292
10/13/2020,59202
10/14/2020,59146
10/15/2020,54208
10/16/2020,57643
10/17/2020,57086
10/18/2020,51565
10/19/2020,55358
10/20/2020,53041
10/21/2020,53253
10/22/2020,52619
10/23/2020,58813
10/24/2020,58298
10/25/2020,50998
10/26/2020,57595
10/27/2020,63274
10/28/2020,75843
10/29/2020,63369
10/30/2020,65290
10/31/2020,69834
11/1/2020,76620
11/2/2020,68898
11/3/2020,64017
11/4/2020,63416
11/5/2020,64967
11/6/2020,69858
11/7/2020,70297
11/8/2020,63791
11/9/2020,66544
11/10/2020,63192
11/11/2020,64757
11/12/2020,65617
11/13/2020,71609
11/14/2020,70387
11/15/2020,65646
11/16/2020,66568
11/17/2020,64602
11/18/2020,66097
11/19/2020,66629
11/20/2020,70855
11/21/2020,70749
11/22/2020,64219
11/23/2020,67257
11/24/2020,62050
11/25/2020,65851
11/26/2020,64843
11/27/2020,71524
11/28/2020,69514
11/29/2020,63160
11/30/2020,67573
12/1/2020,62222
12/2/2020,63607
12/3/2020,64124
12/4/2020,68909
12/5/2020,67901
12/6/2020,61981
12/7/2020,66469
12/8/2020,65926
12/9/2020,43297
12/10/2020,69716
12/11/2020,69701
12/12/2020,69998
12/13/2020,62472
12/14/2020,70500
12/15/2020,67343
12/16/2020,67874
12/17/2020,69470
12/18/2020,74335
12/19/2020,75346
12/20/2020,66323
12/21/2020,73389
12/22/2020,73581
12/23/2020,83612
12/24/2020,74881
12/25/2020,55872
12/26/2020,62596
12/27/2020,69459
12/28/2020,69800
12/29/2020,66439
12/30/2020,70982
12/31/2020,55531
1/1/2021,53988
1/2/2021,57494
1/3/2021,64201
1/4/2021,63340
1/5/2021,60381
1/6/2021,61151
1/7/2021,61437
1/8/2021,65575
1/9/2021,64912
1/10/2021,56634
1/11/2021,57617
1/12/2021,55154
1/13/2021,55204
1/14/2021,56065
1/15/2021,58755
1/16/2021,54775
1/17/2021,45327
1/18/2021,56742
1/19/2021,54589
1/20/2021,55131
1/21/2021,55099
1/22/2021,57747
1/23/2021,55825
1/24/2021,46595
1/25/2021,57972
1/26/2021,55782
1/27/2021,55990
1/28/2021,56947
1/29/2021,59969
1/30/2021,60374
1/31/2021,52626
2/1/2021,58126
2/2/2021,55926
2/3/2021,56491
2/4/2021,58151
2/5/2021,61302
2/6/2021,59835
2/7/2021,52803
2/8/2021,58763
2/9/2021,58394
2/10/2021,60168
2/11/2021,70229
2/12/2021,48214
2/13/2021,53546
2/14/2021,59307
2/15/2021,63039
2/16/2021,58606
2/17/2021,59195
2/18/2021,59562
2/19/2021,63120
2/20/2021,60716
2/21/2021,55478
2/22/2021,60569
2/23/2021,57811
2/24/2021,58213
2/25/2021,61204
2/26/2021,62527
2/27/2021,62303
2/28/2021,57640
3/1/2021,62091
3/2/2021,59218
3/3/2021,60753
3/4/2021,59769
3/5/2021,65905
3/6/2021,66854
3/7/2021,60398
3/8/2021,63465
3/9/2021,61560
3/10/2021,71642
3/11/2021,58604
3/12/2021,65768
3/13/2021,65713
3/14/2021,65419
3/15/2021,65144
3/16/2021,61744
3/17/2021,62624
3/18/2021,62681
3/19/2021,66813
3/20/2021,67303
3/21/2021,61340
3/22/2021,64257
3/23/2021,61189
3/24/2021,62761
3/25/2021,64148
3/26/2021,69627
3/27/2021,70832
3/28/2021,59705
3/29/2021,66369
3/30/2021,63740
3/31/2021,66239
4/1/2021,79931
4/2/2021,66126
4/3/2021,71908
4/4/2021,81320
4/5/2021,72444
4/6/2021,68176
4/7/2021,70778
4/8/2021,72179
4/9/2021,77655
4/10/2021,81916
4/11/2021,79465
4/12/2021,75344
4/13/2021,54131
4/14/2021,53927
4/15/2021,58951
4/16/2021,62300
4/17/2021,55758
4/18/2021,47979
4/19/2021,60991
4/20/2021,58550
4/21/2021,59793
4/22/2021,60285
4/23/2021,64753
4/24/2021,60622
4/25/2021,49999
4/26/2021,62493
4/27/2021,60117
4/28/2021,61561
4/29/2021,63533
4/30/2021,73214
5/1/2021,59075
5/2/2021,56292
5/3/2021,71641
5/4/2021,71475
5/5/2021,70405
5/6/2021,48032
5/7/2021,48180
5/8/2021,38777
5/9/2021,24585
5/10/2021,44524
5/11/2021,41092
5/12/2021,23211
5/13/2021,28706
5/14/2021,32310
5/15/2021,37855
5/16/2021,42037
5/17/2021,48833
5/18/2021,65083
5/19/2021,63656
5/20/2021,64997
5/21/2021,70340
5/22/2021,72207
5/23/2021,70764
5/24/2021,70086
5/25/2021,77234
5/26/2021,70027
5/27/2021,72859
5/28/2021,75939
5/29/2021,79830
5/30/2021,74294
5/31/2021,75371
6/1/2021,69699
6/2/2021,73231
6/3/2021,69996
6/4/2021,75592
6/5/2021,78257
6/6/2021,73680
6/7/2021,70007
6/8/2021,66073
6/9/2021,68059
6/10/2021,69187
6/11/2021,72249
6/12/2021,73701
6/13/2021,67406
6/14/2021,68649
6/15/2021,65580
6/16/2021,62839
6/17/2021,68020
6/18/2021,69424
6/19/2021,67840
6/20/2021,61159
6/21/2021,66967
6/22/2021,63405
6/23/2021,63117
6/24/2021,64206
6/25/2021,65775
6/26/2021,61227
6/27/2021,53799
6/28/2021,60913
6/29/2021,57273
6/30/2021,57395
7/1/2021,55525
7/2/2021,60436
7/3/2021,43853
7/4/2021,33418
7/5/2021,45510
7/6/2021,41359
7/7/2021,45259
7/8/2021,45091
7/9/2021,42448
7/10/2021,36641
7/11/2021,25789
7/12/2021,43446
7/13/2021,40902
7/14/2021,41189
7/15/2021,41812
7/16/2021,41725
7/17/2021,34354
7/18/2021,24210
7/19/2021,37192
7/20/2021,20025
7/21/2021,44468
7/22/2021,44766
7/23/2021,45305
7/24/2021,39567
7/25/2021,31497
7/26/2021,50099
7/27/2021,47320
7/28/2021,48215
7/29/2021,48467
7/30/2021,50268
7/31/2021,45813
8/1/2021,37993
8/2/2021,51151
8/3/2021,50744
8/4/2021,51885
8/5/2021,52089
8/6/2021,55819
8/7/2021,53349
8/8/2021,43848
8/9/2021,54317
8/10/2021,52185
8/11/2021,42844
8/12/2021,55284
8/13/2021,57127
8/14/2021,53820
8/15/2021,44236
8/16/2021,55866
8/17/2021,40973
8/18/2021,56881
8/19/2021,55144
8/20/2021,58626
8/21/2021,55502
8/22/2021,48819
8/23/2021,55672
8/24/2021,54591
8/25/2021,56206
8/26/2021,56342
8/27/2021,60863
8/28/2021,60537
8/29/2021,55711
8/30/2021,59190
8/31/2021,56933
9/1/2021,58264
9/2/2021,58770
9/3/2021,65038
9/4/2021,65278
9/5/2021,61922
9/6/2021,61485
9/7/2021,59466
9/8/2021,60216
9/9/2021,60714
9/10/2021,66238
9/11/2021,67192
9/12/2021,64557
9/13/2021,62678
9/14/2021,60060
9/15/2021,62897
9/16/2021,62727
9/17/2021,68137
9/18/2021,68545
9/19/2021,65147
9/20/2021,63047
9/21/2021,60030
9/22/2021,61562
9/23/2021,63600
9/24/2021,68062
9/25/2021,70772
9/26/2021,66214
9/27/2021,64718
9/28/2021,62090
9/29/2021,63416
9/30/2021,64049
10/1/2021,70028
10/2/2021,72803
10/3/2021,71989
10/4/2021,65768
10/5/2021,63111
10/6/2021,63928
10/7/2021,66544
10/8/2021,72441
10/9/2021,75955
10/10/2021,72966
10/11/2021,67332
10/12/2021,66724
10/13/2021,66472
10/14/2021,68526
10/15/2021,76290
10/16/2021,78814
10/17/2021,73175
10/18/2021,69427
10/19/2021,70082
10/20/2021,63522
10/21/2021,70905
10/22/2021,73268
10/23/2021,74280
10/24/2021,70412
10/25/2021,69480
10/26/2021,67221
10/27/2021,68545
10/28/2021,70332
10/29/2021,76189
10/30/2021,77836
10/31/2021,75770
11/1/2021,69428
11/2/2021,66153
11/3/2021,67106
11/4/2021,69161
11/5/2021,75331
11/6/2021,77262
11/7/2021,72940
11/8/2021,70377
11/9/2021,66303
11/10/2021,69911
11/11/2021,70088
11/12/2021,75575
11/13/2021,76712
11/14/2021,73049
11/15/2021,72926
11/16/2021,68736
11/17/2021,70210
11/18/2021,71230
11/19/2021,76971
11/20/2021,78355
11/21/2021,73719
11/22/2021,72506
11/23/2021,68009
11/24/2021,70666
11/25/2021,73340
11/26/2021,79015
11/27/2021,80143
11/28/2021,74033
11/29/2021,75973
11/30/2021,72352
12/1/2021,72714
12/2/2021,73008
12/3/2021,79483
12/4/2021,81035
12/5/2021,77404
12/6/2021,71190
12/7/2021,70253
12/8/2021,72842
12/9/2021,75336
12/10/2021,81175
12/11/2021,82758
12/12/2021,81823
12/13/2021,77848
12/14/2021,74602
12/15/2021,74428
12/16/2021,77577
12/17/2021,82813
12/18/2021,83502
12/19/2021,80970
12/20/2021,82201
12/21/2021,73882
12/22/2021,77196
12/23/2021,77227
12/24/2021,81102
12/25/2021,64236
12/26/2021,72983
12/27/2021,74374
12/28/2021,72732
12/29/2021,73083
12/30/2021,73806
12/31/2021,66611
1/1/2022,58945
1/2/2022,80410
1/3/2022,72219
1/4/2022,69373
1/5/2022,69223
1/6/2022,70162
1/7/2022,75491
1/8/2022,77617
1/9/2022,74056
1/10/2022,72094
1/11/2022,67331
1/12/2022,69861
1/13/2022,69879
1/14/2022,74169
1/15/2022,75296
1/16/2022,71432
1/17/2022,70201
1/18/2022,67040
1/19/2022,68358
1/20/2022,68060
1/21/2022,74201
1/22/2022,73358
1/23/2022,69597
1/24/2022,68829
1/25/2022,66785
1/26/2022,67360
1/27/2022,68590
1/28/2022,76457
1/29/2022,77557
1/30/2022,67782
1/31/2022,73595
2/1/2022,66457
2/2/2022,71297
2/3/2022,68202
2/4/2022,73303
2/5/2022,72667
2/6/2022,66865
2/7/2022,65752
2/8/2022,62646
2/9/2022,62737
2/10/2022,64176
2/11/2022,66907
2/12/2022,64208
2/13/2022,59381
2/14/2022,61703
2/15/2022,57930
2/16/2022,58758
2/17/2022,59546
2/18/2022,62010
2/19/2022,60375
2/20/2022,54500
2/21/2022,58776
2/22/2022,60768
2/23/2022,58945
2/24/2022,61477
2/25/2022,68963
2/26/2022,73662
2/27/2022,62371
2/28/2022,70422
3/1/2022,64611
3/2/2022,68552
3/3/2022,58215
3/4/2022,68736
3/5/2022,68631
3/6/2022,66594
3/7/2022,67522
3/8/2022,65362
3/9/2022,66523
3/10/2022,68819
3/11/2022,75873
3/12/2022,75537
3/13/2022,70886
3/14/2022,71753
3/15/2022,69728
3/16/2022,71891
3/17/2022,72336
3/18/2022,78163
3/19/2022,79445
3/20/2022,77656
3/21/2022,73554
3/22/2022,71533
3/23/2022,73056
3/24/2022,76299
3/25/2022,83948
3/26/2022,87352
3/27/2022,89530
3/28/2022,81052
3/29/2022,76978
3/30/2022,81168
3/31/2022,85844
4/1/2022,75665
4/2/2022,54622
4/3/2022,60117
4/4/2022,64452
4/5/2022,63991
4/6/2022,64837
4/7/2022,67077
4/8/2022,65741
4/9/2022,55821
4/10/2022,62457
4/11/2022,65958
4/12/2022,66991
4/13/2022,76770
4/14/2022,62545
4/15/2022,60891
4/16/2022,60192
4/17/2022,69717
4/18/2022,71980
4/19/2022,72040
4/20/2022,72945
4/21/2022,77348
4/22/2022,77976
4/23/2022,68026
4/24/2022,76130
4/25/2022,80758
4/26/2022,85472
4/27/2022,93109
4/28/2022,89983
4/29/2022,82257
4/30/2022,80041
